detail_id,transaction_id,item_id,quantity,item_name,item_price,price
136,T0000000571,S005,3,PC-E,210000,630000
137,T0000000790,S003,1,PC-C,120000,120000
138,T0000001638,S004,4,PC-D,180000,720000
139,T0000001831,S001,4,PC-A,50000,200000
140,T0000001855,S003,2,PC-C,120000,240000
141,T0000005606,S005,3,PC-E,210000,630000
142,T0000001174,S001,3,PC-A,50000,150000
143,T0000003740,S001,2,PC-A,50000,100000
144,T0000003277,S003,2,PC-C,120000,240000
145,T0000000178,S001,2,PC-A,50000,100000
146,T0000002244,S002,4,PC-B,85000,340000
147,T0000004086,S001,4,PC-A,50000,200000
148,T0000000734,S004,4,PC-D,180000,720000
149,T0000006232,S003,1,PC-C,120000,120000
150,T0000000798,S004,1,PC-D,180000,180000
151,T0000000787,S005,3,PC-E,210000,630000
152,T0000002795,S004,2,PC-D,180000,360000
153,T0000004304,S002,2,PC-B,85000,170000
154,T0000004588,S002,4,PC-B,85000,340000
155,T0000003084,S004,1,PC-D,180000,180000
156,T0000005753,S005,2,PC-E,210000,420000
157,T0000002918,S001,3,PC-A,50000,150000
158,T0000000731,S002,2,PC-B,85000,170000
159,T0000001129,S004,4,PC-D,180000,720000
160,T0000003446,S004,4,PC-D,180000,720000
161,T0000001605,S004,1,PC-D,180000,180000
162,T0000003778,S001,3,PC-A,50000,150000
163,T0000002745,S003,3,PC-C,120000,360000
164,T0000003170,S005,2,PC-E,210000,420000
165,T0000004689,S003,3,PC-C,120000,360000
166,T0000002933,S005,2,PC-E,210000,420000
167,T0000001215,S005,2,PC-E,210000,420000
168,T0000000324,S004,1,PC-D,180000,180000
169,T0000005074,S002,3,PC-B,85000,255000
170,T0000005845,S004,4,PC-D,180000,720000
171,T0000001850,S001,2,PC-A,50000,100000
172,T0000001490,S005,2,PC-E,210000,420000
173,T0000000893,S002,2,PC-B,85000,170000
174,T0000001390,S005,3,PC-E,210000,630000
175,T0000003389,S005,3,PC-E,210000,630000
176,T0000004239,S004,3,PC-D,180000,540000
177,T0000004479,S002,2,PC-B,85000,170000
178,T0000002263,S002,4,PC-B,85000,340000
179,T0000003432,S005,4,PC-E,210000,840000
180,T0000002371,S002,3,PC-B,85000,255000
181,T0000003086,S002,4,PC-B,85000,340000
182,T0000004312,S004,2,PC-D,180000,360000
183,T0000001515,S003,3,PC-C,120000,360000
184,T0000006326,S001,3,PC-A,50000,150000
185,T0000006413,S003,2,PC-C,120000,240000
186,T0000005586,S002,3,PC-B,85000,255000
187,T0000002917,S005,2,PC-E,210000,420000
188,T0000005731,S001,3,PC-A,50000,150000
189,T0000006610,S001,4,PC-A,50000,200000
190,T0000002352,S005,3,PC-E,210000,630000
191,T0000001167,S001,3,PC-A,50000,150000
192,T0000000110,S005,3,PC-E,210000,630000
193,T0000005109,S001,1,PC-A,50000,50000
194,T0000004327,S003,4,PC-C,120000,480000
195,T0000005810,S001,2,PC-A,50000,100000
196,T0000003655,S004,1,PC-D,180000,180000
197,T0000003793,S005,4,PC-E,210000,840000
198,T0000001755,S001,3,PC-A,50000,150000
199,T0000006738,S005,3,PC-E,210000,630000
200,T0000001577,S004,2,PC-D,180000,360000
201,T0000001296,S001,2,PC-A,50000,100000
202,T0000003774,S001,4,PC-A,50000,200000
203,T0000002220,S004,4,PC-D,180000,720000
204,T0000000972,S004,2,PC-D,180000,360000
205,T0000001030,S004,4,PC-D,180000,720000
206,T0000002593,S005,2,PC-E,210000,420000
207,T0000006691,S004,3,PC-D,180000,540000
208,T0000003992,S005,2,PC-E,210000,420000
209,T0000004613,S003,1,PC-C,120000,120000
210,T0000000913,S001,2,PC-A,50000,100000
211,T0000006358,S001,2,PC-A,50000,100000
212,T0000002181,S002,1,PC-B,85000,85000
213,T0000006428,S003,1,PC-C,120000,120000
214,T0000003197,S004,1,PC-D,180000,180000
215,T0000006040,S004,1,PC-D,180000,180000
216,T0000001462,S003,2,PC-C,120000,240000
217,T0000005968,S004,4,PC-D,180000,720000
218,T0000002378,S002,1,PC-B,85000,85000
219,T0000003454,S005,3,PC-E,210000,630000
220,T0000003553,S001,2,PC-A,50000,100000
221,T0000001307,S003,4,PC-C,120000,480000
222,T0000004994,S001,3,PC-A,50000,150000
223,T0000005194,S005,2,PC-E,210000,420000
224,T0000001189,S003,2,PC-C,120000,240000
225,T0000005308,S005,3,PC-E,210000,630000
226,T0000006221,S004,1,PC-D,180000,180000
227,T0000000687,S004,1,PC-D,180000,180000
228,T0000006164,S004,3,PC-D,180000,540000
229,T0000004661,S005,4,PC-E,210000,840000
230,T0000001207,S005,1,PC-E,210000,210000
231,T0000001894,S005,2,PC-E,210000,420000
232,T0000004922,S001,2,PC-A,50000,100000
233,T0000005447,S005,4,PC-E,210000,840000
234,T0000006322,S004,2,PC-D,180000,360000
235,T0000001811,S002,1,PC-B,85000,85000
236,T0000003183,S005,4,PC-E,210000,840000
237,T0000003797,S002,1,PC-B,85000,85000
238,T0000005178,S004,4,PC-D,180000,720000
239,T0000005446,S005,3,PC-E,210000,630000
240,T0000001644,S001,2,PC-A,50000,100000
241,T0000003968,S001,4,PC-A,50000,200000
242,T0000002716,S002,3,PC-B,85000,255000
243,T0000000190,S001,1,PC-A,50000,50000
244,T0000005319,S001,3,PC-A,50000,150000
245,T0000001335,S001,1,PC-A,50000,50000
246,T0000004803,S004,4,PC-D,180000,720000
247,T0000003106,S001,4,PC-A,50000,200000
248,T0000000378,S003,2,PC-C,120000,240000
249,T0000004482,S005,2,PC-E,210000,420000
250,T0000003829,S001,4,PC-A,50000,200000
251,T0000006380,S001,1,PC-A,50000,50000
252,T0000000615,S001,1,PC-A,50000,50000
253,T0000005638,S003,4,PC-C,120000,480000
254,T0000002330,S001,1,PC-A,50000,50000
255,T0000006144,S001,4,PC-A,50000,200000
256,T0000001754,S005,2,PC-E,210000,420000
257,T0000000463,S003,1,PC-C,120000,120000
258,T0000000966,S003,2,PC-C,120000,240000
259,T0000004267,S001,3,PC-A,50000,150000
260,T0000003158,S003,2,PC-C,120000,240000
261,T0000003624,S002,3,PC-B,85000,255000
262,T0000005242,S003,2,PC-C,120000,240000
263,T0000004938,S003,2,PC-C,120000,240000
264,T0000005417,S003,1,PC-C,120000,120000
265,T0000006004,S004,2,PC-D,180000,360000
266,T0000000689,S004,4,PC-D,180000,720000
267,T0000002622,S004,1,PC-D,180000,180000
268,T0000005603,S003,1,PC-C,120000,120000
269,T0000002212,S002,1,PC-B,85000,85000
270,T0000006120,S003,2,PC-C,120000,240000
271,T0000005818,S001,1,PC-A,50000,50000
272,T0000000382,S002,3,PC-B,85000,255000
273,T0000002256,S004,3,PC-D,180000,540000
274,T0000003810,S005,2,PC-E,210000,420000
275,T0000003503,S002,1,PC-B,85000,85000
276,T0000001412,S004,4,PC-D,180000,720000
277,T0000001583,S002,4,PC-B,85000,340000
278,T0000006367,S002,3,PC-B,85000,255000
279,T0000006146,S003,2,PC-C,120000,240000
280,T0000000371,S001,2,PC-A,50000,100000
281,T0000005806,S005,2,PC-E,210000,420000
282,T0000005565,S004,2,PC-D,180000,360000
283,T0000000610,S002,2,PC-B,85000,170000
284,T0000000115,S005,1,PC-E,210000,210000
285,T0000000446,S002,1,PC-B,85000,85000
286,T0000001391,S001,1,PC-A,50000,50000
287,T0000003324,S005,4,PC-E,210000,840000
288,T0000001340,S004,1,PC-D,180000,180000
289,T0000004510,S002,2,PC-B,85000,170000
290,T0000005904,S001,2,PC-A,50000,100000
291,T0000002939,S005,4,PC-E,210000,840000
292,T0000005143,S002,4,PC-B,85000,340000
293,T0000003699,S002,3,PC-B,85000,255000
294,T0000005969,S004,4,PC-D,180000,720000
295,T0000001073,S001,3,PC-A,50000,150000
296,T0000004813,S003,1,PC-C,120000,120000
297,T0000003569,S002,2,PC-B,85000,170000
298,T0000005454,S005,3,PC-E,210000,630000
299,T0000003150,S004,3,PC-D,180000,540000
300,T0000001605,S004,3,PC-D,180000,540000
301,T0000006414,S002,4,PC-B,85000,340000
302,T0000004657,S002,4,PC-B,85000,340000
303,T0000002294,S002,4,PC-B,85000,340000
304,T0000003662,S003,3,PC-C,120000,360000
305,T0000004482,S002,1,PC-B,85000,85000
306,T0000004797,S001,2,PC-A,50000,100000
307,T0000006702,S005,4,PC-E,210000,840000
308,T0000005068,S002,1,PC-B,85000,85000
309,T0000005480,S003,4,PC-C,120000,480000
310,T0000000983,S005,4,PC-E,210000,840000
311,T0000005607,S004,3,PC-D,180000,540000
312,T0000000351,S002,3,PC-B,85000,255000
313,T0000001724,S005,4,PC-E,210000,840000
314,T0000001951,S004,2,PC-D,180000,360000
315,T0000001279,S003,4,PC-C,120000,480000
316,T0000001907,S001,2,PC-A,50000,100000
317,T0000004848,S002,1,PC-B,85000,85000
318,T0000001024,S001,4,PC-A,50000,200000
319,T0000000545,S003,2,PC-C,120000,240000
320,T0000005565,S005,1,PC-E,210000,210000
321,T0000004174,S005,1,PC-E,210000,210000
322,T0000005355,S003,3,PC-C,120000,360000
323,T0000002381,S003,1,PC-C,120000,120000
324,T0000000888,S002,3,PC-B,85000,255000
325,T0000001105,S004,1,PC-D,180000,180000
326,T0000002549,S001,1,PC-A,50000,50000
327,T0000001990,S001,2,PC-A,50000,100000
328,T0000005596,S005,2,PC-E,210000,420000
329,T0000003998,S005,3,PC-E,210000,630000
330,T0000003775,S002,4,PC-B,85000,340000
331,T0000002812,S003,2,PC-C,120000,240000
332,T0000000920,S001,1,PC-A,50000,50000
333,T0000004645,S002,3,PC-B,85000,255000
334,T0000002061,S005,3,PC-E,210000,630000
335,T0000004487,S005,3,PC-E,210000,630000
336,T0000006453,S001,1,PC-A,50000,50000
337,T0000006529,S005,2,PC-E,210000,420000
338,T0000005476,S005,4,PC-E,210000,840000
339,T0000005069,S004,3,PC-D,180000,540000
340,T0000003639,S003,1,PC-C,120000,120000
341,T0000003165,S005,2,PC-E,210000,420000
342,T0000004435,S004,2,PC-D,180000,360000
343,T0000002644,S002,4,PC-B,85000,340000
344,T0000004852,S005,3,PC-E,210000,630000
345,T0000001045,S002,1,PC-B,85000,85000
346,T0000006434,S005,2,PC-E,210000,420000
347,T0000003556,S001,1,PC-A,50000,50000
348,T0000006449,S004,2,PC-D,180000,360000
349,T0000002681,S004,3,PC-D,180000,540000
350,T0000003199,S001,3,PC-A,50000,150000
351,T0000006768,S003,4,PC-C,120000,480000
352,T0000000938,S004,2,PC-D,180000,360000
353,T0000004943,S002,1,PC-B,85000,85000
354,T0000000441,S004,2,PC-D,180000,360000
355,T0000002550,S003,1,PC-C,120000,120000
356,T0000004225,S002,4,PC-B,85000,340000
357,T0000000596,S002,2,PC-B,85000,170000
358,T0000006054,S001,3,PC-A,50000,150000
359,T0000001505,S005,1,PC-E,210000,210000
360,T0000000861,S001,3,PC-A,50000,150000
361,T0000002640,S005,4,PC-E,210000,840000
362,T0000005094,S001,4,PC-A,50000,200000
363,T0000006468,S005,1,PC-E,210000,210000
364,T0000003731,S004,2,PC-D,180000,360000
365,T0000006591,S002,3,PC-B,85000,255000
366,T0000001551,S005,3,PC-E,210000,630000
367,T0000005736,S004,1,PC-D,180000,180000
368,T0000003236,S003,1,PC-C,120000,120000
369,T0000005607,S001,1,PC-A,50000,50000
370,T0000001736,S003,4,PC-C,120000,480000
371,T0000001449,S004,4,PC-D,180000,720000
372,T0000005953,S003,3,PC-C,120000,360000
373,T0000000264,S003,2,PC-C,120000,240000
374,T0000002659,S004,1,PC-D,180000,180000
375,T0000002721,S002,4,PC-B,85000,340000
376,T0000001462,S005,2,PC-E,210000,420000
377,T0000004252,S001,1,PC-A,50000,50000
378,T0000001445,S005,2,PC-E,210000,420000
379,T0000002298,S001,1,PC-A,50000,50000
380,T0000002925,S005,2,PC-E,210000,420000
381,T0000001632,S003,3,PC-C,120000,360000
382,T0000006673,S002,1,PC-B,85000,85000
383,T0000002374,S003,1,PC-C,120000,120000
384,T0000004990,S002,3,PC-B,85000,255000
385,T0000006240,S004,1,PC-D,180000,180000
386,T0000000512,S001,1,PC-A,50000,50000
387,T0000000215,S001,4,PC-A,50000,200000
388,T0000003331,S004,3,PC-D,180000,540000
389,T0000002172,S005,4,PC-E,210000,840000
390,T0000003153,S004,3,PC-D,180000,540000
391,T0000001706,S004,2,PC-D,180000,360000
392,T0000002106,S002,3,PC-B,85000,255000
393,T0000001567,S004,3,PC-D,180000,540000
394,T0000002208,S001,4,PC-A,50000,200000
395,T0000002331,S003,1,PC-C,120000,120000
396,T0000002153,S002,3,PC-B,85000,255000
397,T0000001128,S002,1,PC-B,85000,85000
398,T0000003510,S005,3,PC-E,210000,630000
399,T0000004323,S003,4,PC-C,120000,480000
400,T0000003653,S002,3,PC-B,85000,255000
401,T0000002365,S004,2,PC-D,180000,360000
402,T0000005583,S002,3,PC-B,85000,255000
403,T0000004897,S002,3,PC-B,85000,255000
404,T0000005718,S002,1,PC-B,85000,85000
405,T0000006001,S005,1,PC-E,210000,210000
406,T0000002921,S002,2,PC-B,85000,170000
407,T0000004567,S002,3,PC-B,85000,255000
408,T0000001079,S005,1,PC-E,210000,210000
409,T0000006768,S003,3,PC-C,120000,360000
410,T0000006156,S001,4,PC-A,50000,200000
411,T0000003511,S005,4,PC-E,210000,840000
412,T0000005137,S005,2,PC-E,210000,420000
413,T0000002741,S002,4,PC-B,85000,340000
414,T0000003020,S002,1,PC-B,85000,85000
415,T0000006256,S001,1,PC-A,50000,50000
416,T0000000228,S002,2,PC-B,85000,170000
417,T0000000170,S004,3,PC-D,180000,540000
418,T0000000294,S002,1,PC-B,85000,85000
419,T0000004284,S002,4,PC-B,85000,340000
420,T0000000425,S004,1,PC-D,180000,180000
421,T0000005072,S001,2,PC-A,50000,100000
422,T0000005198,S004,4,PC-D,180000,720000
423,T0000000918,S005,4,PC-E,210000,840000
424,T0000003253,S004,4,PC-D,180000,720000
425,T0000000498,S003,2,PC-C,120000,240000
426,T0000005917,S005,2,PC-E,210000,420000
427,T0000002809,S002,3,PC-B,85000,255000
428,T0000004961,S005,3,PC-E,210000,630000
429,T0000000825,S001,3,PC-A,50000,150000
430,T0000003779,S001,2,PC-A,50000,100000
431,T0000001858,S004,4,PC-D,180000,720000
432,T0000002118,S005,4,PC-E,210000,840000
433,T0000006391,S002,1,PC-B,85000,85000
434,T0000000145,S001,3,PC-A,50000,150000
435,T0000005737,S002,4,PC-B,85000,340000
436,T0000005415,S003,4,PC-C,120000,480000
437,T0000006725,S001,4,PC-A,50000,200000
438,T0000004565,S004,4,PC-D,180000,720000
439,T0000003577,S003,2,PC-C,120000,240000
440,T0000000192,S005,3,PC-E,210000,630000
441,T0000005187,S002,4,PC-B,85000,340000
442,T0000006637,S001,4,PC-A,50000,200000
443,T0000003888,S003,4,PC-C,120000,480000
444,T0000000051,S003,4,PC-C,120000,480000
445,T0000002410,S001,1,PC-A,50000,50000
446,T0000001820,S005,4,PC-E,210000,840000
447,T0000002964,S005,4,PC-E,210000,840000
448,T0000002521,S004,4,PC-D,180000,720000
449,T0000001869,S005,1,PC-E,210000,210000
450,T0000002568,S004,2,PC-D,180000,360000
451,T0000005882,S003,1,PC-C,120000,120000
452,T0000005550,S001,4,PC-A,50000,200000
453,T0000001867,S005,2,PC-E,210000,420000
454,T0000002738,S004,4,PC-D,180000,720000
455,T0000003269,S003,2,PC-C,120000,240000
456,T0000003199,S005,4,PC-E,210000,840000
457,T0000002579,S002,4,PC-B,85000,340000
458,T0000006103,S003,2,PC-C,120000,240000
459,T0000005530,S005,2,PC-E,210000,420000
460,T0000004005,S003,4,PC-C,120000,480000
461,T0000004935,S001,1,PC-A,50000,50000
462,T0000000240,S001,1,PC-A,50000,50000
463,T0000003440,S001,1,PC-A,50000,50000
464,T0000004631,S002,1,PC-B,85000,85000
465,T0000001407,S001,2,PC-A,50000,100000
466,T0000003502,S002,2,PC-B,85000,170000
467,T0000004038,S001,1,PC-A,50000,50000
468,T0000000082,S003,3,PC-C,120000,360000
469,T0000005077,S005,3,PC-E,210000,630000
470,T0000003768,S005,3,PC-E,210000,630000
471,T0000000950,S001,4,PC-A,50000,200000
472,T0000000610,S005,1,PC-E,210000,210000
473,T0000004669,S001,4,PC-A,50000,200000
474,T0000006429,S001,2,PC-A,50000,100000
475,T0000005084,S004,2,PC-D,180000,360000
476,T0000003605,S004,3,PC-D,180000,540000
477,T0000004554,S004,3,PC-D,180000,540000
478,T0000003283,S002,2,PC-B,85000,170000
479,T0000002173,S004,3,PC-D,180000,540000
480,T0000003484,S001,3,PC-A,50000,150000
481,T0000001522,S003,2,PC-C,120000,240000
482,T0000006568,S004,4,PC-D,180000,720000
483,T0000002601,S004,3,PC-D,180000,540000
484,T0000002657,S003,4,PC-C,120000,480000
485,T0000006080,S001,3,PC-A,50000,150000
486,T0000005662,S002,1,PC-B,85000,85000
487,T0000002159,S004,4,PC-D,180000,720000
488,T0000002449,S003,4,PC-C,120000,480000
489,T0000003830,S001,3,PC-A,50000,150000
490,T0000000121,S005,4,PC-E,210000,840000
491,T0000004368,S002,1,PC-B,85000,85000
492,T0000001317,S003,2,PC-C,120000,240000
493,T0000004493,S003,1,PC-C,120000,120000
494,T0000002518,S003,2,PC-C,120000,240000
495,T0000005080,S004,1,PC-D,180000,180000
496,T0000001230,S005,1,PC-E,210000,210000
497,T0000001133,S002,4,PC-B,85000,340000
498,T0000001301,S001,1,PC-A,50000,50000
499,T0000004034,S001,3,PC-A,50000,150000
500,T0000001910,S005,3,PC-E,210000,630000
501,T0000006712,S003,3,PC-C,120000,360000
502,T0000001505,S003,3,PC-C,120000,360000
503,T0000003185,S003,4,PC-C,120000,480000
504,T0000001916,S003,3,PC-C,120000,360000
505,T0000004915,S003,1,PC-C,120000,120000
506,T0000003548,S005,3,PC-E,210000,630000
507,T0000002757,S004,4,PC-D,180000,720000
508,T0000001956,S002,2,PC-B,85000,170000
509,T0000006464,S003,1,PC-C,120000,120000
510,T0000000178,S004,1,PC-D,180000,180000
511,T0000000896,S001,4,PC-A,50000,200000
512,T0000006362,S005,2,PC-E,210000,420000
513,T0000006068,S004,3,PC-D,180000,540000
514,T0000001551,S003,2,PC-C,120000,240000
515,T0000000491,S003,1,PC-C,120000,120000
516,T0000000060,S003,1,PC-C,120000,120000
517,T0000001077,S004,1,PC-D,180000,180000
518,T0000005799,S003,2,PC-C,120000,240000
519,T0000006681,S004,3,PC-D,180000,540000
520,T0000002895,S003,1,PC-C,120000,120000
521,T0000004160,S001,4,PC-A,50000,200000
522,T0000003683,S001,3,PC-A,50000,150000
523,T0000000585,S002,1,PC-B,85000,85000
524,T0000005823,S003,3,PC-C,120000,360000
525,T0000006314,S003,4,PC-C,120000,480000
526,T0000003960,S004,2,PC-D,180000,360000
527,T0000003770,S004,1,PC-D,180000,180000
528,T0000000534,S003,4,PC-C,120000,480000
529,T0000003462,S002,1,PC-B,85000,85000
530,T0000004011,S003,1,PC-C,120000,120000
531,T0000003398,S004,2,PC-D,180000,360000
532,T0000002155,S003,2,PC-C,120000,240000
533,T0000005966,S004,3,PC-D,180000,540000
534,T0000001004,S003,4,PC-C,120000,480000
535,T0000002499,S005,4,PC-E,210000,840000
536,T0000005325,S004,2,PC-D,180000,360000
537,T0000006733,S002,1,PC-B,85000,85000
538,T0000005135,S005,3,PC-E,210000,630000
539,T0000000326,S003,2,PC-C,120000,240000
540,T0000004703,S004,3,PC-D,180000,540000
541,T0000002706,S005,3,PC-E,210000,630000
542,T0000000001,S002,4,PC-B,85000,340000
543,T0000001033,S004,3,PC-D,180000,540000
544,T0000002481,S005,4,PC-E,210000,840000
545,T0000000124,S005,1,PC-E,210000,210000
546,T0000001104,S005,1,PC-E,210000,210000
547,T0000006628,S001,2,PC-A,50000,100000
548,T0000002699,S003,1,PC-C,120000,120000
549,T0000001861,S004,4,PC-D,180000,720000
550,T0000005269,S004,3,PC-D,180000,540000
551,T0000002920,S004,3,PC-D,180000,540000
552,T0000000128,S005,1,PC-E,210000,210000
553,T0000000437,S003,4,PC-C,120000,480000
554,T0000004846,S002,3,PC-B,85000,255000
555,T0000002548,S004,1,PC-D,180000,180000
556,T0000003129,S003,4,PC-C,120000,480000
557,T0000001221,S003,4,PC-C,120000,480000
558,T0000006354,S001,3,PC-A,50000,150000
559,T0000000901,S004,2,PC-D,180000,360000
560,T0000006188,S005,2,PC-E,210000,420000
561,T0000003168,S003,4,PC-C,120000,480000
562,T0000005398,S003,4,PC-C,120000,480000
563,T0000006678,S002,1,PC-B,85000,85000
564,T0000005529,S001,4,PC-A,50000,200000
565,T0000006604,S003,1,PC-C,120000,120000
566,T0000004486,S003,1,PC-C,120000,120000
567,T0000003918,S005,1,PC-E,210000,210000
568,T0000001067,S005,4,PC-E,210000,840000
569,T0000000026,S002,4,PC-B,85000,340000
570,T0000000547,S002,1,PC-B,85000,85000
571,T0000002668,S002,3,PC-B,85000,255000
572,T0000000566,S005,4,PC-E,210000,840000
573,T0000000703,S005,2,PC-E,210000,420000
574,T0000005338,S001,3,PC-A,50000,150000
575,T0000004280,S004,2,PC-D,180000,360000
576,T0000003140,S004,4,PC-D,180000,720000
577,T0000001590,S001,3,PC-A,50000,150000
578,T0000006009,S004,4,PC-D,180000,720000
579,T0000004943,S005,4,PC-E,210000,840000
